Name,SkillId,DisplayName,Summary,Description,SkillType,TargetingMode,ResourceType,ResourceCost,CooldownSeconds,CastTimeSeconds,RangeUnits,RadiusUnits,ScalingPrimaryStat,ScalingPrimaryCoefficient,ScalingSecondaryStat,ScalingSecondaryCoefficient,TagsCsv,EffectIdsCsv,SynergyRuleIdsCsv,DiscoveryRuleIdsCsv,StartingMasteryStage,StirringProgressThreshold,AwakeningProgressThreshold,ManifestedProgressThreshold,LearningSourcesCsv,WitnessSkillIdsCsv,BookIdsCsv,IconToken,Category,CharacterAnimationAsset,EffectAnimationAsset,SkillIconTexture
conductive_surge,conductive_surge,Conductive Surge,Area chain lightning on wet targets,Detonates conductive arcs across wet enemies and puddles,Active,Area,Mana,30,14,0.7,900,420,Intelligence,1.2,Wisdom,0.25,lightning|aoe|chain|environment|water,eff_conductive_surge_chain|eff_shock_debuff,sy_lightning_in_water|sy_lightning_on_metal,dr_conductive_surge_water|dr_magnetic_lash_metal,Stirring,18,55,110,discovery|observation,conductive_surge,book_conductive_theory,CS,Elemental,,,
fire_tornado,fire_tornado,Fire Tornado,Order-mastered fire and wind fusion,Sustained vortex of flame requiring mastery of both fire to wind orders,Active,Area,Mana,34,18,1.0,1000,360,Intelligence,1.15,Wisdom,0.35,fire|wind|fusion|aoe|dot,eff_fire_tornado_vortex|eff_burn_dot|eff_gust_pull_light,sy_fireball_then_gust|sy_gust_then_fireball,dr_fire_tornado_mastery,Stirring,20,60,120,discovery|observation,fire_tornado,book_vortex_incantations,FT,Elemental,,,
explosion,explosion,Explosion,Castable detonation,Detonates volatile targets or marked zones after repeated barrel interactions,Active,Ground,Mana,24,10,0.5,900,300,Intelligence,1.0,Strength,0.2,fire|explosive|aoe|environment,eff_explosion_blast|eff_brief_stagger,sy_fire_explosive_chain,dr_explosion_from_barrels,Stirring,16,50,100,discovery|book,,book_demolition_runes,EX,Elemental,,,
chain_detonation,chain_detonation,Chain Detonation,Linked explosive triggers,Marks multiple volatile points and detonates them in sequence,Active,Area,Mana,40,22,0.9,1200,500,Intelligence,1.25,Wisdom,0.2,fire|explosive|chain|aoe|environment,eff_chain_detonation_multi,sy_fire_explosive_chain,dr_chain_detonation_multi_blasts,Dormant,22,65,125,discovery|observation,chain_detonation,book_siege_alchemy,CD,Elemental,,,
backdraft,backdraft,Backdraft,Oil fire wave pushed by wind,Turns burning oil and gust pressure into a directed flame surge,Active,Ground,Mana,28,13,0.6,950,340,Intelligence,1.05,Dexterity,0.3,fire|wind|oil|environment|wave,eff_backdraft_wave|eff_burn_dot,sy_fire_on_oil_then_gust,dr_backdraft_from_oil,Dormant,18,52,105,discovery|observation,backdraft,book_refinery_accidents,BD,Elemental,,,
sky_lance,sky_lance,Sky Lance,Aerial elemental strike,Rewards airborne casting with a descending high velocity elemental lance,Active,TargetUnit,Mana,26,11,0.4,1300,120,Intelligence,1.0,Dexterity,0.45,airborne|movement|spell|precision,eff_sky_lance_impact|eff_brief_stagger,sy_jump_cast_lightning|sy_jump_cast_ice,dr_sky_lance_airborne_cast,Stirring,15,45,95,discovery|observation,sky_lance,book_aerial_forms,SL,Arcane,,,
stone_breaker,stone_breaker,Stone Breaker,Earth follow-up finisher,Heavy earth shockwave unlocked by melee into earth discipline,Active,Ground,Stamina,28,10,0.5,300,260,Strength,1.05,Constitution,0.25,earth|melee|shockwave|aoe,eff_stone_breaker_shockwave,sy_earth_after_melee,dr_stone_breaker,Dormant,18,50,95,discovery|trainer,,book_quarry_forms,SB,Sword,,,
flame_slash,flame_slash,Flame Slash,Weapon arc of ignited fire,Converts repeated fire weapon coatings into a ranged weapon fire arc,Active,Weapon,Stamina,24,8,0.3,350,180,Strength,0.85,Intelligence,0.35,fire|weapon|melee|wave,eff_backdraft_wave,sy_weapon_fire_coat,dr_ignite_weapon_unlock,Dormant,16,45,90,discovery|trainer,,book_weapon_embers,FS,Sword,,,
shatter_squall,shatter_squall,Shatter Squall,Ice wind fragment storm,Wind detonates chilled targets into a sweeping shard storm,Active,Area,Mana,30,15,0.7,900,380,Intelligence,1.05,Dexterity,0.3,ice|wind|aoe|cc,eff_frost_shard_hit|eff_gust_push,sy_ice_then_gust_shards,dr_shatter_squall,Dormant,18,50,100,discovery|book,,book_shatter_squall_notes,SQ,Elemental,,,
glacial_upthrust,glacial_upthrust,Glacial Upthrust,Frozen earth eruption,Earth spike erupts through chilled ground and launches foes higher,Active,Ground,Mana,32,16,0.8,850,260,Strength,0.7,Intelligence,0.65,ice|earth|ground|aoe,eff_stone_spike_upthrust|eff_chill_slow,sy_ice_ground_then_earth_spike,dr_glacial_upthrust,Dormant,18,52,105,discovery|book,,book_tectonic_frost,GU,Elemental,,,
magnetic_lash,magnetic_lash,Magnetic Lash,Lightning pull on metal,Hooks armored foes or metal objects with a charged pulling arc,Active,Object,Mana,26,12,0.4,900,220,Intelligence,0.95,Dexterity,0.25,lightning|metal|pull|environment,eff_gust_pull_light|eff_shock_debuff,sy_lightning_on_metal,dr_magnetic_lash_metal,Dormant,18,54,108,discovery|observation,conductive_surge,book_armory_currents,ML,Arcane,,,
restorative_current,restorative_current,Restorative Current,Healing movement shield,Successful evasive healing grants a short moving protection current,Passive,Self,None,0,0,0,0,0,Wisdom,0.6,Dexterity,0.3,support|heal|movement|buff,eff_afterimage_dodge_window|eff_heal_wave_pulse,sy_heal_after_dodge,dr_restorative_current,Dormant,14,42,90,discovery|reading,,book_battlefield_medic,RC,Light,,,
